Pays,Or,Argent,Bronze,Total
États-Unis d'Amérique,40,44,42,126
République populaire de Chine,40,27,24,91
Japon,20,12,13,45
Australie,18,19,16,53
France,16,26,22,64
Pays-Bas,15,7,12,34
Grande-Bretagne,14,22,29,65
République de Corée,13,9,10,32
Italie,12,13,15,40
Allemagne,12,13,8,33
Nouvelle-Zélande,10,7,3,20
Canada,9,7,11,27
Ouzbékistan,8,2,3,13
Hongrie,6,7,6,19
Espagne,5,4,9,18
Suède,4,4,3,11
Kenya,4,2,5,11
Norvège,4,1,3,8
Irlande,4,0,3,7
Brésil,3,7,10,20
République islamique d'Iran,3,6,3,12
Ukraine,3,5,4,12
Roumanie,3,4,2,9
Géorgie,3,3,1,7
Belgique,3,1,6,10
Bulgarie,3,1,3,7
Serbie,3,1,1,5
Tchéquie,3,0,2,5
Danemark,2,2,5,9
Azerbaïdjan,2,2,3,7
Croatie,2,2,3,7
Cuba,2,1,6,9
Bahreïn,2,1,1,4
Slovénie,2,1,0,3
Chinese Taipei,2,0,5,7
Autriche,2,0,3,5
"Hong Kong, Chine",2,0,2,4
Philippines,2,0,2,4
Algérie,2,0,1,3
Indonésie,2,0,1,3
Israël,1,5,1,7
Pologne,1,4,5,10
Kazakhstan,1,3,3,7
Jamaïque,1,3,2,6
Afrique du Sud,1,3,2,6
Thaïlande,1,3,2,6
Éthiopie,1,3,0,4
Suisse,1,2,5,8
Équateur,1,2,2,5
Portugal,1,2,1,4
Grèce,1,1,6,8
Argentine,1,1,1,3
Égypte,1,1,1,3
Tunisie,1,1,1,3
Botswana,1,1,0,2
Chili,1,1,0,2
Sainte-Lucie,1,1,0,2
Ouganda,1,1,0,2
République dominicaine,1,0,2,3
Guatemala,1,0,1,2
Maroc,1,0,1,2
Dominique,1,0,0,1
Pakistan,1,0,0,1
Türkiye,0,3,5,8
Mexique,0,3,2,5
Arménie,0,3,1,4
Colombie,0,3,1,4
Kirghizistan,0,2,4,6
République populaire démocratique de Corée,0,2,4,6
Lituanie,0,2,2,4
Inde,0,1,5,6
République de Moldova,0,1,3,4
Kosovo,0,1,1,2
Chypre,0,1,0,1
Fidji,0,1,0,1
Jordanie,0,1,0,1
Mongolie,0,1,0,1
Panama,0,1,0,1
Tadjikistan,0,0,3,3
Albanie,0,0,2,2
Grenade,0,0,2,2
Malaisie,0,0,2,2
Porto Rico,0,0,2,2
Côte d'Ivoire,0,0,1,1
Cabo Verde,0,0,1,1
Équipe olympique des réfugiés,0,0,1,1
Pérou,0,0,1,1
Qatar,0,0,1,1
Singapour,0,0,1,1
Slovaquie,0,0,1,1
Zambie,0,0,1,1
